Country,Year,Consumption,Inflation,GDP_per_capita,Unemployment_rate,ExchangeRate,GrossSaving
Australia,1991,0.984272471617544,3.17667536988685,36366.6962397612,9.586,1.28375583333333,20.8078722173929
France,1991,0.653260041897468,3.21340732409687,28197.2359540607,9.134,5.64211666666667,23.2037793973606
Malaysia,1991,9.04541609916163,4.358333333333,4456.93133148159,3.7,2.75006666666667,29.2782620146207
Philippines,1991,2.49883225584017,19.2614585266282,1656.38349704781,3.727,27.4786333333333,20.9940259165043
Thailand,1991,5.4214693022131,5.70985259891396,2810.56702001316,2.63,25.5167954060799,34.528016169832
United States,1991,0.18051870665721,4.23496396453849,38449.8815276871,6.8,1.0,18.814188530315
Australia,1992,2.37342462601605,1.01223112610714,36117.5446503441,10.733,1.36164833333333,18.3164839064147
France,1992,1.12452157096715,2.36376046269353,28482.5194675509,10.203,5.29381583333333,22.546309235783
Malaysia,1992,4.65366708542841,4.76722829992821,4726.13789172987,3.71,2.54738333333333,31.6964750314478
Philippines,1992,3.2367315390856,8.65100357865265,1624.34939806129,3.849,25.5124916666667,20.7100674276883
Thailand,1992,8.69792787208112,4.13914575077056,2989.85385369019,1.35,25.4001281507941,34.0199054218324
United States,1992,3.6800624505739,3.02881967814969,39256.0481325055,7.5,1.0,17.6880246956939
Australia,1993,1.90474529771454,1.75365344467641,37246.0044332363,10.879,1.47056,20.3034156711219
France,1993,-0.0581784001194876,2.10446277124644,28257.0962487817,11.32,5.66323,21.2961089475221
Malaysia,1993,6.25297167258341,3.53658536585389,5062.5911043705,4.11,2.574095,34.7131723521145
Philippines,1993,2.52801908633673,6.71631104109973,1620.35505833942,3.869,27.1198416666667,20.3512734374584
Thailand,1993,8.41880519799471,3.31219168428468,3186.99707103229,1.49,25.3196110778961,35.9403785639628
United States,1993,3.48365672581559,2.95165696638559,39807.8795034206,6.9,1.0,17.051004445686
Australia,1994,2.15965761850168,1.96963479688141,38356.7691976693,9.724,1.36775083333333,21.8463364095375
France,1994,1.67513654791492,1.65551532926993,28822.5006495069,12.593,5.552045,21.3981033981652
Malaysia,1994,9.38914625782819,3.72497055359284,5390.10167606966,3.64,2.62425666666667,35.0914161292647
Philippines,1994,2.91499436870555,10.3864734299517,1654.74613902838,3.767,26.4171666666667,22.4209070619903
Thailand,1994,7.87591724086489,5.04774897680755,3391.48986604062,1.347,25.1499518885845,35.8027071005383
United States,1994,3.87431214748635,2.60744159215453,40907.0184352707,6.119,1.0,17.8617050415274
Australia,1995,4.41374073646715,4.62776659959759,39407.5647528439,8.473,1.3490325,20.6053570826636
France,1995,1.72218451143415,1.79648142095595,29379.6158424052,11.834,4.9914825,21.9729668295532
Malaysia,1995,11.6572716937701,3.45057509584895,5771.35211956083,3.15,2.50440416666667,33.8932551687612
Philippines,1995,2.98563941447543,6.83199610989534,1693.80873081644,3.68,25.7144666666667,21.9351325155766
Thailand,1995,8.27927409761149,5.81818181818192,3614.93244016732,1.1,24.9151757040726,35.8028117053841
United States,1995,2.95051730272529,2.80541968853662,41507.9135604158,5.65,1.0,18.7589369755472
Australia,1996,3.38194560796239,2.61538461538461,40437.0941864857,8.509,1.27786333333333,20.8678175180598
France,1996,1.96031626416926,1.98288365089738,29683.7786067651,12.367,5.1155225,21.7903989739422
Malaysia,1996,6.86500832248514,3.48855945858916,6190.46429134886,2.52,2.5159425,37.0407234800784
Philippines,1996,3.82032999049169,7.4761037778791,1752.23800104559,3.607,26.2161,22.4067471448509
Thailand,1996,5.03339328534994,5.80510554737349,3766.86364433088,1.071,25.3426828609665,34.6035201809033
United States,1996,3.46991896684166,2.93120419993441,42575.6896936773,5.451,1.0,19.6511225768668
Australia,1997,2.87149231395212,0.224887556221887,41569.1653679391,8.367,1.34738,21.7802042626413
France,1997,0.538042032279336,1.20394294026962,30325.522871824,12.566,5.83669166666667,22.7576436116306
Malaysia,1997,4.31006415648632,2.66251459711946,6480.55649455855,2.45,2.81319166666667,37.0205449212701
Philippines,1997,4.33288544179959,5.59025939650601,1800.25913137613,3.592,29.4706583333333,23.9122337867866
Thailand,1997,-1.41017500927519,5.62579747129104,3614.60848543994,0.873,31.3643344542954,32.2545975091173
United States,1997,3.76550184215434,2.33768993730735,43936.9050018073,5.0,1.0,20.8476519614593
Australia,1998,5.12731557133208,0.860134629768142,43081.7201718179,7.684,1.59182833333333,21.5910821015266
France,1998,3.98568730445122,0.651126867833049,31256.5073830655,12.074,5.89951566666667,23.7057060992741
Malaysia,1998,-10.2358176879269,5.27034200348766,5857.96702940857,3.2,3.924375,39.8491589952669
Philippines,1998,5.29229026203588,9.23493432267121,1746.52590513282,3.697,40.89305,29.6191580479745
Thailand,1998,-10.1996639098303,7.9947287502746,3295.36018381294,3.404,41.3593875,31.7437445056457
United States,1998,5.31106914730859,1.55227909874364,45374.6215189233,4.511,1.0,21.3904974897564
Australia,1999,5.56212734751141,1.48312940304041,44755.6599721318,6.876,1.54995,20.5938348860108
France,1999,3.46397508290839,0.537141639134645,32152.7207478734,11.981,0.938283072395283,24.2896514574492
Malaysia,1999,2.85989482165046,2.74456130240604,6070.95621987091,3.43,3.8,38.305980768975
Philippines,1999,4.02826376316838,5.93904901780808,1759.42105225652,3.751,39.0889833333333,35.9678010817108
Thailand,1999,4.066022135879,0.284726459223034,3403.08737356896,2.968,37.8136558333333,30.4552375675406
United States,1999,5.38109963471702,2.18802719697358,47004.469017723,4.219,1.0,20.9260978741676
Australia,2000,4.19633647411686,4.45743514797224,45979.0765654048,6.288,1.72482666666667,21.1585828443316
France,2000,3.66594057961774,1.67595988720927,33255.1379642335,10.218,1.08270508132602,23.7110536739959
Malaysia,2000,13.0284321549706,1.53474023697699,6455.61419792583,3.0,3.8,35.9173795808654
Philippines,2000,5.1971034622286,3.9771250324928,1793.34761146436,3.77,44.19225,33.3916737451306
Thailand,2000,7.03729060637259,1.59196917460972,3514.71662970608,2.389,40.1118033333333,30.7820937245273
United States,2000,5.03686308216314,3.37685727149929,48379.7551705781,3.992,1.0,20.813343318339
Australia,2001,3.32538572474219,4.40713536201469,46314.6235297968,6.747,1.9334425,20.707708507732
France,2001,2.51858557279753,1.63478079549601,33640.6738002565,8.61,1.11653308564462,23.7864406085702
Malaysia,2001,3.02742703231749,1.41678473206098,6334.92795651698,3.53,3.8,32.2517790339187
Philippines,2001,3.94228444566581,5.34550195567142,1807.70892524758,3.698,50.99265,34.6236833401699
Thailand,2001,5.89561853413096,1.62690887314091,3599.02524877358,2.6,44.4319,28.2255095772685
United States,2001,2.47638263250343,2.82617111885407,48361.0167607073,4.731,1.0,19.657274659967
Australia,2002,2.92490440159466,2.98157453936348,47599.4079289312,6.375,1.8405625,21.7443643675091
France,2002,2.08227810520452,1.9234122872706,33753.5782979758,8.702,1.05755899623965,22.5727520688813
Malaysia,2002,3.87210415422716,1.80787246281536,6516.90671560155,3.48,3.8,32.7350846657081
Philippines,2002,5.0999819767227,2.72277227722765,1837.25429286854,3.616,51.6035666666667,35.2688442852804
Thailand,2002,6.22194524439435,0.697308976625449,3783.75422073266,1.82,42.9600833333333,28.103890614555
United States,2002,2.54294122735827,1.58603162650601,48729.1586442625,5.783,1.0,18.3808512938917
Australia,2003,4.28141725350912,2.73259596616786,48509.6632180363,5.933,1.54191416666667,21.0479265435955
France,2003,1.48544230006083,2.09847219146923,33840.6175720101,8.306,0.88404792718493,22.0506952001078
Malaysia,2003,8.11346873840739,1.08967632577286,6732.92049458099,3.61,3.8,34.8526514617844
Philippines,2003,5.37956036447812,2.28915662650607,1892.82161995051,3.527,54.2033333333333,35.6099556982049
Thailand,2003,7.3463145576018,1.80434994635721,4018.15538187068,1.54,41.4846166666667,27.9738396418452
United States,2003,3.16421025053531,2.27009497336115,49662.7520549839,5.989,1.0,17.4287269368118
Australia,2004,5.29953224429943,2.34325522482583,50018.5904483861,5.399,1.3597525,21.4867186852419
France,2004,1.95107825656467,2.14208964640241,34557.1471111581,8.914,0.803921647747618,22.4333906736965
Malaysia,2004,9.84907689179965,1.42127115937402,7025.34558004381,3.54,3.8,35.1374966248144
Philippines,2004,5.9043923050591,4.82921083627795,1978.34489133113,3.554,56.0399166666666,36.2292309162938
Thailand,2004,7.42828696643301,2.7591492623108,4232.77157261934,1.51,40.2224149175021,27.8994841062468
United States,2004,3.76999684253217,2.67723669309172,51098.5573007417,5.529,1.0,17.7331647694224
Australia,2005,4.53845886517428,2.69183168316832,50972.640519744,5.036,1.30947333333333,20.9463328004775
France,2005,2.41778466231762,1.74586936380482,34946.0372494703,8.882,0.803800192161442,22.4390250328785
Malaysia,2005,9.10930253139404,2.97507092684449,7234.02442689141,3.53,3.78709166666667,36.8157549507862
Philippines,2005,4.44446756672711,6.51685393258433,2037.8776605946,3.795,55.0854916666666,37.7714550955846
Thailand,2005,4.2008626127683,4.54036919634535,4372.25730206261,1.35,40.2201302083333,28.2409524233023
United States,2005,3.54139275311975,3.3927468454955,52393.4513113092,5.084,1.0,18.1224549531276
Australia,2006,3.314067660978,3.55528773727026,51682.8925230537,4.785,1.3279734405,21.6197924820935
France,2006,2.14333941348795,1.67512449608723,35645.4162427116,8.832,0.796432730949102,23.0722888675806
Malaysia,2006,6.61023865518521,3.60923564224389,7469.8106921211,3.32,3.66817695833333,38.7964745148433
Philippines,2006,4.18240538515133,5.4852320675105,2110.42044781284,4.052,51.3142725,37.2282016275855
Thailand,2006,2.80089345388758,4.63747436011765,4551.5250018314,1.22,37.8819832215363,30.4451483129011
United States,2006,2.89735994251996,3.22594410070404,53335.5896950225,4.623,1.0,19.1997488777268
Australia,2007,5.30573875709489,2.32761128891476,52671.325846724,4.381,1.1950725,21.3208215222712
France,2007,2.637579655435,1.4879980595386,36322.1685141004,8.008,0.729672399984083,23.5376685505619
